characters_archaeologe;Archaeologe
spokentexts_a10_eingangsbereich_schatzkammer_ex_1_st_1;Ce doit être la salle au trésor où l'Oeil du Sphinx sera exposé. La vitrine est déjà installée.
spokentexts_a10_eingangsbereich_schatzkammer_ex_2_st_1;Personne n'a le droit de pénétrer dans la salle au trésor avant l'arrivée de l'Oeil.
spokentexts_a10_eingangsbereich_schatzkammer_ex_2_st_2;Au moins la sécurité a l'air sérieuse.
sequences_a10_eingangsbereich_schatzkammer_leave_1#1;[Ohi heads to the treasure chamber. The guard raises his hand, bars the way (Idle).]
spokentexts_a10_eingangsbereich_schatzkammer_leave_1_st_1;Non, monsieur.
spokentexts_a10_eingangsbereich_schatzkammer_leave_1_st_2;Je suis avec la police suisse. Je veux vérifier les mesures de sécurité !
sequences_a10_eingangsbereich_schatzkammer_leave_1#4;[The guard shakes his head and pulls back his hand.]
spokentexts_a10_eingangsbereich_schatzkammer_leave_1_st_3;Personne n'a le droit d'entrer dans la salle au trésor avant la livraison.
spokentexts_a10_eingangsbereich_schatzkammer_leave_1_st_4_direction;unzufrieden
spokentexts_a10_eingangsbereich_schatzkammer_leave_1_st_4;Hmpf.
sequences_a10_eingangsbereich_schatzkammer_leave_2#1;[Ohi goes into treasure chamber.]
texts_a10_eingangsbereich_tor_schatzkammer_mo_ex_1-4;Examiner la porte en métal
texts_a10_eingangsbereich_tor_schatzkammer_mo_used_mit_fahnenstange_1-3;Forcer l'ouverture de la porte
texts_a10_eingangsbereich_tor_schatzkammer_mo_used_mit_holzstange_1-3;Forcer l'ouverture de la porte
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_1_st_1;Ce satané poseur de bombe !
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_1_st_2;Je veux dire... la salle était remplie de trésors irremplaçables !
sequences_a10_eingangsbereich_tor_schatzkammer_ex_2#1;[Ohi puts his hand under the gate, scans it, maybe he briefly presses himself to it. He wants to check whether it's possible to move the gate.]
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_2_st_1;La porte est massive. Impossible de l'ouvrir tout seul !
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_3_st_1;Je ne peux pas ouvrir la porte tout seul. Même s'il y avait une poignée, elle doit peser plusieurs centaines de kilos !
sequences_a10_eingangsbereich_tor_schatzkammer_ex_4#1;[Ohi reaches the gate with both hands, tries to open it]
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_4_st_1_direction;Anstrengung
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_4_st_1;Hmmrr.
sequences_a10_eingangsbereich_tor_schatzkammer_ex_4#3;[Ohi releases the gate, turns to the guardsman.]
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_4_st_2_direction;leicht genervt
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_4_st_2;Si vous voulez bien ?
sequences_a10_eingangsbereich_tor_schatzkammer_ex_4#5;[The guardsman looks to the director who doesn't move.]
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_4_st_3_direction;genervt
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_4_st_3;Hrmm.
sequences_a10_eingangsbereich_tor_schatzkammer_ex_4#7;[The guardsman goes to the gate, positions himself next to Ohi. They try to open the gate together.]
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_4_st_4_direction;Anstrengung
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_4_st_4;Euh... Non. Ça ne marchera pas.
sequences_a10_eingangsbereich_tor_schatzkammer_ex_4#9;[The guardsman releases it, goes back to his position.]
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_4_st_5;J'aurais pu vous dire la même chose.
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_5_st_1;L'explosion n'était pas suffisamment puissante pour endommager sérieusement la porte.
spokentexts_a10_eingangsbereich_tor_schatzkammer_ex_5_st_2;Mais elle est peut êre légèrement amochée... En tout cas, impossible de l'ouvrir.
sequences_a10_eingangsbereich_tor_schatzkammer_used_mit_fahnenstange_1#1;[Ohi sticks the pole under the gate.]
spokentexts_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_1_st_1;Officier ?
sequences_a10_eingangsbereich_tor_schatzkammer_used_mit_fahnenstange_1#3;[The guardsman approaches Ohi, annoyed, reaches under the gate. Ohi and the guardsman try to open the gate. Indeed it moves upwards a fraction.]
spokentexts_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_1_st_2_direction;unter großer Anstrengung
spokentexts_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_1_st_2;Elle... Elle bouge !
spokentexts_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_1_st_3_direction;Anstrengung
spokentexts_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_1_st_3;Hmmghh !
sequences_a10_eingangsbereich_tor_schatzkammer_used_mit_fahnenstange_1#6;[Ohi stops trying to open it, the door closes again. The guardsman stops as well, looks at Ohi.]
spokentexts_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_1_st_4_direction;Spannung lässt ab
spokentexts_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_1_st_4;Pfff. Non. Pas suffisant.
sequences_a10_eingangsbereich_tor_schatzkammer_used_mit_fahnenstange_1#8;[Ohi puts down the flagpole, the guardsman goes back to his position.]
spokentexts_a10_eingangsbereich_tor_schatzkammer_used_mit_fahnenstange_2_st_1;Nous avons presque réussi à ouvrir la porte en faisant levier.
spokentexts_a10_eingangsbereich_tor_schatzkammer_used_mit_fahnenstange_2_st_2;Mais pas complètement.
sequences_a10_eingangsbereich_tor_schatzkammer_used_mit_fahnenstange_3#1;"[Sequence ""gate_is_forced_open"" is played.]"
sequences_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_1#1;[Ohi sticks the pole under the gate.]
sequences_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_1#3;[The guardsman approaches Ohi, annoyed, reaches under the gate. Ohi and the guardsman try to open the gate. Indeed it moves upwards a fraction.]
sequences_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_1#6;[Ohi stops trying to open it, the door closes again. The guardsman stops as well, looks at Ohi.]
sequences_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_1#8;[Ohi puts down the wooden pole, the guardsman goes back to his position.]
sequences_a10_eingangsbereich_tor_schatzkammer_used_mit_holzstange_3#1;"[Sequence ""gate_is_forced_open"" is played.]"
texts_a10_eingangsbereich_tuer_wachstube_mo_ex_1;Examiner la salle de sécurité
texts_a10_eingangsbereich_tuer_wachstube_mo_leave_1__2;Entrer dans la salle de sécurité
spokentexts_a10_eingangsbereich_tuer_wachstube_ex_1_st_1;La porte est verrouillée si personne n'est dans la pièce. Normal.
spokentexts_a10_eingangsbereich_tuer_wachstube_ex_1_st_2;Mais j'aurais imaginé la salle occupée à plein temps, surtout un jour comme aujourd'hui !
sequences_a10_eingangsbereich_tuer_wachstube_leave_1#1;[So Ohi tried to open the door. It's locked.]
spokentexts_a10_eingangsbereich_tuer_wachstube_leave_1_st_1;Verrouillée.
sequences_a10_eingangsbereich_tuer_wachstube_leave_2#1;[Ohi goes into the guard's room.]
texts_a10_eingangsbereich_vitrine_mo_ex_1;Examiner la vitrine
spokentexts_a10_eingangsbereich_vitrine_ex_1_st_1;Des bijoux d'Égypte antique. J'aime beaucoup la chevalière en or avec le scarabée en jaspe.
spokentexts_a10_eingangsbereich_vitrine_ex_1_st_2;En Égypte antique ces scarabées étaient des symboles de fertilité, aujourd'hui on les appelle simplement bousiers.
spokentexts_a10_eingangsbereich_vitrine_ex_1_st_3;J'imagine que les scarabées s'en fichent.
texts_a10_eingangsbereich_zeitung_mo_ex_1__2;Regarder le journal
sequences_a10_eingangsbereich_zeitung_ex_1#1;[Ohi takes newspaper, looks at the cover.]
spokentexts_a10_eingangsbereich_zeitung_ex_1_st_1;Je ne comprends pas ce qui est écrit, mais en couverture il y a une photo particulièrement réussie de Legrand.
spokentexts_a10_eingangsbereich_zeitung_ex_1_st_2;On y voit un homme jeune et plein d'énergie photographié par en dessous avec le ciel en toile de fond.
spokentexts_a10_eingangsbereich_zeitung_ex_1_st_3;Voilà l'allure d'un homme pouvant attraper un voleur et un meurtrier dans la même journée.
spokentexts_a10_eingangsbereich_zeitung_ex_1_st_4_direction;frustriert, beleidigt
spokentexts_a10_eingangsbereich_zeitung_ex_1_st_4;Pff.
sequences_a10_eingangsbereich_zeitung_ex_1#6;[Ohi disdainfully throws the newspaper back onto the chair.]
spokentexts_a10_eingangsbereich_zeitung_ex_2_st_1;Je ne pense pas que Legrand ait parlé à la presse lui même.
spokentexts_a10_eingangsbereich_zeitung_ex_2_st_2;Il ne semble pas aimer l'attention et ne s'approprierait pas les louanges d'un autre.
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_a#0;[The Boy hesitates for a second, then he heads decidedly to his mother and talks to her.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_1;Je ne te vois que pendant les vacances Maman. Et maintenant tu veux que le professeur se joigne à nous comme ça je passerai encore moins de temps avec toi ?
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_a#2;[The carer looks at her son with an expression of shock on her face.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_2;Tu as raison !
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_a#4;[The carer turns to the professor.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_3;Je suis désolée, Professeur Lucien. Mieux vaut que vous ne vous joigniez pas à nous.
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_a#6;[The professor is irritated, step towards to the carer. But then somebody calls him from the back, he glances round and pauses.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_4_direction;verwundert, enttäuscht
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_4;Mais Mary !
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_5;Professeur ? Vous venez ?
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_6_direction;enttäuscht
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_6;Peut être que... nous pourrons en reparler ce soir.
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_a#10;[The professor disappears, the unhappy carer is left behind.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_7_direction;traurig
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_7;Et si on rentrait à l'hôtel ?
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_8;Je veux une glace !
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_a#13;[The boy heads to the entrance. The writer looks thoughtfully at the carer who starts to lead her back to the entrance.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_a_st_9;D'ailleurs, Mr Zellner m'en doit toujours une !
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#0;[Ohi looks at the boy who is brooding over something. Then he plucks up his courage and goes to his mother.]
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#1;[Cut back.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_b_st_1;Oh, allez Maman ! Qui mieux que le Professeur pourrait nous faire découvrir l'Égypte ?
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#3;[The carer is surprised and happy, she beams at her son first, then at the professor.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_b_st_2;Donc c'est décidé !
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#5;[The carer smiles, nods happily. The professor notices that he is needed at the safe and leaves briskly.]
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#6;[Cut to Ohi. The writer appears next to Ohi, smiles contentedly. Cut back.]
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#7;[The carer kneels down to her son.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_b_st_3;Je ne pensais pas que tu serais de cet avis.
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_b_st_4;Eh bien, Maman, parfois il faut savoir se jeter à l'eau !
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#10;[The carer hugs her boy.]
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#11;[Cut to Ohi and the writer.]
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#12;[The writer is content. In the end she claps her hands once.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_b_st_5;Eh bien ? Qui veut une glace ?
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#14;[Cut back.]
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#15;[The boy releases his mother and raises his hand.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_b_st_6;Moi !
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#17;[The boy heads to the exit, the writer follows him. The carer still kneels on the floor.]
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#18;[Ohi helps her up. You can see she is trying to hide her tears, but shows a happy face.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_b_st_7_direction;flüsternd
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_b_st_7;Merci.
sequences_a10_eingangsbereich_seq_a10_ankunft_tresor_b#20;[The boy, the carer and the writer leave the museum and leave a happy Ohi behind.]
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_b_st_8_direction;im Weggehen
spokentexts_a10_eingangsbereich_seq_a10_ankunft_tresor_b_st_8;D'ailleurs, Mr Zellner m'en doit toujours une.
sequences_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor#0;[The safe is pushed into the treasure chamber by two guardsmen.]
sequences_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor#1;[Legrand and the director are standing nearby and watching everything.]
sequences_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor#2;[The archaeologist enters the room, takes a look inside the safe. Then he sees the carer and hurries to her. He takes her by the hand (Idle).]
spokentexts_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor_st_1;Tout sera bientôt terminé. J'aurai alors enfin du temps à vous consacrer.
spokentexts_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor_st_2_direction;verlegen
spokentexts_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor_st_2;Je, euh... Nous pensions rentrer à l'hôtel.
spokentexts_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor_st_3_direction;fröhlich
spokentexts_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor_st_3;Très bien ! Et ce soir, pendant le gala, je vous ferai un visite du musée, d'accord ?
spokentexts_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor_st_4;Et... Avez-vous pris une décision pour la croisière ?
spokentexts_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor_st_5_direction;verlegen
spokentexts_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor_st_5;Eh bien...
sequences_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor#8;[Cut to the stairs.]
sequences_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor#9;[Ohi and the boy are coming upstairs.]
sequences_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor#10;[Cut back. The carer looks at the boy.]
spokentexts_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor_st_6;Eh bien... Je ne sais pas trop.
sequences_a10_eingangsbereich_seq_a10_eingangsbereich_ankunft_tresor#12;[Cut to Ohi and the boy.]
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_1;Très bien. Cela devrait marcher !
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_2;Officier Oliver ? Pourriez-vous m'aider ?
sequences_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt#2;[Ohi points at the wooden pole. The guardsman stands up, takes it. Both stick their poles under the door, brace themselves.]
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_3;À trois.
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_4;Un.
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_5;Deux.
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_6;Trois !
sequences_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt#7;[Ohi and the guardsman lift up the poles with all their might and actually manage to open the gate about 80cm.]
sequences_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt#8;[The weight of the gate obviously puts a lot of pressure onto the poles, both of them have to struggle to keep the gate open (Idle).]
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_7_direction;unter großer Anstrengung
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_7;Directeur Mokhtar...
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_8_direction;unter großer Anstrengung
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_8;Dépêchez vous ! Placez quelque chose sous la porte !
sequences_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt#12;[The director glances at Ohi, then he takes a look around.]
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_10_direction;schwach, irritiert
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_10;Hmm ?
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_13_direction;unter großer Anstrengung, erbost
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_13;DIRECTEUR !
sequences_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt#18;[The director takes a look around, finds a round, metallic ashtray/bin. He takes it and tries to place it under the gate. It's a bit too large.]
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_14;Ça ne rentre pas !
sequences_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt#20;[Ohi and the guardsman try to lift the gate a little more. But they don't manage it.]
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_15_direction;unter großer Anstrengung
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_15;Impossible de l'ouvrir davantage !
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_16_direction;unter großer Anstrengung
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_16;Glissez la en dessous ! Vite !
sequences_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt#23;[The director lays the ashbin on its side, pushes it under the gate. Ohi and the guardsman slowly lower the gate and place it on the bin.]
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_17_direction;schwer atmend
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_17;Ça... devrait tenir...
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_18_direction;schwer atmend
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_18;Je n'y crois pas trop. Mieux vaut ne pas tarder.
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_19_direction;schwach, halb zu sich
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_19;Et informer l'Inspecteur Legrand.
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_20;Je veux d'abord avoir une vue d'ensemble de la situation.
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_21;Vous ne pensez tout de même pas que je vais vous laisser seul avec le joyau ?
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_22;Je doute que le joyau soit encore dans la salle au trésor.
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_23_direction;verständnislos
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_23;Mais comment...
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_24;Je vous ai à l'oeil !
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_25;Alors vous allez devoir me suivre.
sequences_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt#33;[Ohi lets himself fall down to the floor, crawls under the gate. At first the guardsman pauses irresolutely, then heads to the director.]
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_26;Si vous n'avez pas de MES nouvelles d'ici cinq minutes, qu'importe l'Officer Zellner, allez ouvrir l'entrée principale et appelez à l'aide, c'est compris ?
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_27_direction;schwach
spokentexts_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt_st_27;Très bien.
sequences_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt#36;[The guard nods, then follows Ohi through the gate into the treasure chamber.]
sequences_pflegerin_seq_a10_eingangsbereich_tor_wird_aufgehebelt#37;[*** End of the chapter. ***]
sequences_pflegerin_seq_a10_eingangsbereich_ueberfall#0;[Ohi comes out of the treasure chamber, takes position under the gate and looks up.]
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_1;Ici. Cette porte. Comment fonctionne-t-elle ?
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_2;Très bien, commençons par ...
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_3;Comment cette porte fonctionne-t-elle ?
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_5;Si l'alarme est déclenchée la porte en métal sera abaissée. Même chose pour les fenêtres et l'entrée principale.
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_6;Le voleur est fait comme un rat !
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_7;Tout comme nous.
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_8_direction;höfliches Lachen
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_8;Mmm-hmm.
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_9;Maintenant je vais vous montrer la salle de sécurité, le coeur de notre système de surveillance.
sequences_pflegerin_seq_a10_eingangsbereich_ueberfall#12;[The director takes Ohi by the arm, pushes him towards the guard's room.]
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_10;Ensuite vous devrez m'excuser. J'ai beaucoup à faire aujourd'hui, comme vous pouvez l'imaginer.
sequences_pflegerin_seq_a10_eingangsbereich_ueberfall#14;[The camera is moving backwards, while it stays focused on the director and Ohi. Suddenly something black and blurred appears in the foreground. It lies on the banister.]
sequences_pflegerin_seq_a10_eingangsbereich_ueberfall#15;[Ohi stops and freezes. He looks shocked. The director stops as well, but doesn't know what's going on.]
sequences_pflegerin_seq_a10_eingangsbereich_ueberfall#16;[He hasn't seen it, yet. He looks at Ohi, then he follows his gaze and freezes as well.]
sequences_pflegerin_seq_a10_eingangsbereich_ueberfall#17;[In the foreground a raven's feather moves into focus. Then cut to Ohi.]
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_11;Alertez les gardes. Puis appelez l'ambassade de France. Legrand doit venir...
sequences_pflegerin_seq_a10_eingangsbereich_ueberfall#19;[The alarm is set off.]
sequences_pflegerin_seq_a10_eingangsbereich_ueberfall#20;[Both whirl around to the treasure chamber. The gates start to close.]
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_12;On nous enferme dehors !
