characters_araber;Araber
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#25;[The Arab carefully lift his head, listens and tries to see something. Then he goes back to its normal idle.]
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2_st_8;That was close.
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2_st_9;If the second screw makes that much noise, it's over for me!
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_3_st_1;No way!
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_3_st_2;If the second nut also hits the floor, Legrand will know that I'm up here!
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_3_st_3;My only option will be to jump from the train.
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_st_1;In theory, I could use the mirror to get a look at the front of the car...
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_st_2;...but my arm is too thick to fit through the grate.
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#1;[The Arab takes the antenna with the mirror at its top out. He takes off the antenna and puts the mirror in the slats. Slowly he push it forward..]
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#2;[Cut to the transport wagon, shot.]
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#3;[The guard is standing around bored and plays with his gun.]
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#4;[Cut for closeup on the air inlet.]
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#5;[The mirror slidis inch per inch into the room. Then he stops and will be turned. At the end of the rotation, we see the Arab in the mirror.]
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#7;[The Arab has pushed the mirror far into the ventilation and tries it now to keep it as calm as possible (idle).]
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_1;There's the guard... The safe is directly beneath the ventilation shaft...
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_2;I could shimmy down the shaft and hit him on the head from behind.
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_3;Uh oh!
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#13;[The investigator comes in.]
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_4;Are you okay, Robert?
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#15;[The guard scares easily, then takes awkward attention and saluts (idle).]
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_5;Nothing to report, sir.
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_6;At ease.
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#18;[The guard turns back to normal.]
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_7;Any suspicious passengers come aboard in Zurich, sir?
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_8;Hmm. Not really. It could be anyone and no one.
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_9_direction;mockingly
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_9;But we've received support from the Swiss police. A certain Constable Zellner.
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_10_direction;dubiously
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_10;Oh?
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_11;Very motivated. Might get on our nerves.
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#25;[The Arab pulls very careful the mirror back to make no noise. Then he holds the thing in his hand.]
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_12;That limits my options. I can't overpower two people.
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_13;I don't think I'll be able to slip into the carriage unseen after all.
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#28;[The Arab pushes frustrated the antenna together, puts it away.]
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_14_direction;frustrated
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_14;Grr. There has to be a way! I have to keep Inch happy.
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#31;[The Arab pulls the letter out of his pocket, looks at it (idle).]
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_18;How do I get you onto the safe... or on top of it? 
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#6;[The Arab looks excited at the ventilation shaft, he's got an idea.]
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_19;"The safe is directly beneath the ventilation shaft! And Inch said something about a ""blackout"" and a ""tunnel""..."
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1#34;[The Arab puts the letter back on.]
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_20;I could use the moments of confusion and darkness to toss the letter onto the safe!
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_1_st_23;Might work, as long as I manage to open the ventilation shaft and choose the right moment.
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_2#1;[The Arab takes the antenna with the mirror at its top out. He takes off the antenna and puts the mirror in the slats. Slowly he push it forward until he is completely inside. Then he holds it (idle).]
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_2_st_1;Legrand has retired to a dark corner. And the bobby is hiding behind some boxes.
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_2_st_2;Legrand obviously set a trap for the Raven - unfortunately, The Raven knows.
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_2_st_3;Is that what this is about? Does Inch just want to mock Legrand?
sequences_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_2#5;[The Arab pulls very careful the mirror back to make no noise. Then he puts the antenna away.]
spokentexts_a13_dach_lueftungsschacht_used_mit_spiegel_an_antenne_3_st_1;I don't believe that anything really changed down there.
sequences_a13_dach_seq_a13_dach_betreten#0;[The Arab comes into the scene, kneels next to the ventilation shaft and holds himself there (idle).]
sequences_a13_dach_seq_a13_dach_flucht#0;[The following is a dream-like sequence.]
sequences_a13_dach_seq_a13_dach_flucht#1;[The Arab awaks on the roof, holding his head and coughs.]
sequences_a13_dach_seq_a13_dach_flucht#3;[Fade out fade, in.]
sequences_a13_dach_seq_a13_dach_flucht#4;[The Arab dragged himself through the roof, his obviously hurt.]
sequences_a13_dach_seq_a13_dach_flucht#6;[Fade out fade, in.]
sequences_a13_dach_seq_a13_dach_flucht#2;[The Arab appears inconsistent at the door of the saloon wagon. This is the scene that you have seen in the memory of the boy. ]
sequences_a13_dach_seq_a13_dach_flucht#9;[Fade out fade, in.]
sequences_a13_dach_seq_a13_dach_flucht#10;[The Arab tumbles through the wagon then disappears.]
sequences_a13_dach_seq_a13_dach_flucht#12;[End of section.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#0;[We see the power failure / emergency braking scene like in Section 1 in the same camera angle.]
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_1;The light's gone out!
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_2;Flashlights!
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#3;[The train makes a hard stop, the three men are falling, boxes are moving, some things break.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#4;[Cut to the ventilation.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#5;[The cover is opened and the Arab appear. He can only be guessed, everything is very dark.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#6;[Cut to a long shot.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#7;[The Arab hangs with the entire upper body through the hole, he has the envelope in his hand. He amkes a nervous look in the direction of the men.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#8;[Cut to the investigators.]
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_3;Get off me!
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#10;[The investigators fights himself free and fumbles with his flashlight, turns it on. He lights the guard in the face.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#11;[Cut back to the Arab.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#12;[Now he has to hurry. He drops the envelope onto the safe and tightens the abdominal muscles, to bring up the upper body as far as he can so that it he can reach the edge of the vent.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#13;[Cut to the investigators.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#14;[While Ohi and the guard gets themselves up, the investigator lights with the flashlight towards the safe.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#15;[Cut to a long shot.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#16;[The Arab disappeared. You can just imagine how his back gets out of the hole. But he had no time anymore to fold back the cover. So there is a big black hole in the ceiling.]
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_4;There, sir!
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#18;[The guard goes past the investigator to the safe.]
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_5;An envelope!
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#20;[The guard wants to take him, but theinvestigators is faster. He opens the letter, reads it.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#21;[Cut. It can be seen the Arab as he lies flat on his back on the roof. Beside him, the opening of the vent. Through the opening can be seen the investigator, the guard and Ohi, as they read.]
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_6_direction;reads
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_6;"""Dear Nico. You should take a closer look at the box. R."""
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#23;[Down in the wagon the investigator gives the guard the torch in his hand and starts to open the safe.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#25;[Cut to the roof of the car.]
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#24;[Up on the roof the Arab pushes himself away piece by piece from the opening. He thinks for a moment whether he should disappear, but then the curiosity overcomes him and he looks carefully through the hole.]
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_7_direction;dull, out of the Wagon
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_7;It's...
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_8_direction;dull, out of the Wagon
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_8;Away with it!
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_9_direction;dull, out of the Wagon
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_9;Take cover!
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_10;All right. We should... What?
spokentexts_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung_st_11;What the dickens?
sequences_a13_dach_seq_a13_dach_stromausfall_und_vollbremsung#30;[The Arab startles, turns around. What does that mean? He hears below him the fleeing men. He act quickly and crawls more quickly. Under him, the door gets open, the men jump out. The Arab dives straight from the transport wagon into the saloon wagon as the explosion starts, the camera shakes and everything goes black.]
sequences_a13_dach_seq_a13_dach_zweite_schraube_loesen#0;[The Arab takes the string out with the magnet, then the antenna with the mirror. Both he puts into the ventilation shaft.]
sequences_a13_dach_seq_a13_dach_zweite_schraube_loesen#1;[Cut to the closeup of the ventilation duct.]
sequences_a13_dach_seq_a13_dach_zweite_schraube_loesen#2;"[The magnet sticks to one of the blades. With the mirror it is released, so that it hangs in the air easily. Now he will be moved with help of the to the remaining nut. With a very quiet ""bell"" it attached to it.]"
sequences_a13_dach_seq_a13_dach_zweite_schraube_loesen#3;[Cut back to the roof.]
sequences_a13_dach_seq_a13_dach_zweite_schraube_loesen#4;[The Arab pulls very careful the mirror back while he holds the string. He puts the antenna with the mirror beside him and grabs the wrench, which he tackles for the second screw.]
sequences_a13_dach_seq_a13_dach_zweite_schraube_loesen#5;[Cut back to the closeup.]
sequences_a13_dach_seq_a13_dach_zweite_schraube_loesen#6;[The screw is already turning, the magnet is attached to the nut. When the nut finally falls, it falls just a little bit, then it hangs on the string. After a short while (during the string  more or less swings), the nut with magnetic and the string is pulled up.]
sequences_a13_dach_seq_a13_dach_zweite_schraube_loesen#7;[Cut back to the roof.]
sequences_a13_dach_seq_a13_dach_zweite_schraube_loesen#8;[The Arab moves everything slowly out of the ventilation shaft. Then he throws the nut with the magnet and the string aways, also the wrench. He puts  together the mirror and takes it with him. He goes into his idle.]
spokentexts_a13_dach_seq_a13_dach_zweite_schraube_loesen_st_1;That's that.
sequences_a13_dach_seq_a13_dach_zweite_schraube_loesen#10;[The Arab turns around, pulls then quick his head in. The train is running  straight into a tunnel.]
spokentexts_a13_dach_seq_a13_dach_zweite_schraube_loesen_st_2;Now I just... Oh ho!
texts_a13_grossraumwagon_aushang_mo_ex_1-3;Examine the notice
texts_a13_grossraumwagon_aushang_mo_use_1;Open the cabinet
texts_a13_grossraumwagon_aushang_mo_used_mit_schluesselbund;Open the lock on the vitrine
spokentexts_a13_grossraumwagon_aushang_ex_1_st_1;Some maps, info for travellers, some pictures and the schedule, all neatly hung up with magnets.
spokentexts_a13_grossraumwagon_aushang_ex_2_st_1;The big map shows the different routes the Orient Express took in the course of its long history.
spokentexts_a13_grossraumwagon_aushang_ex_2_st_2;It's larger than the other notices and thus hung up with larger magnets. I'll take one with me.
sequences_a13_grossraumwagon_aushang_ex_2#3;[The Arab takes one of the magnets on the lower edge of the card.]
spokentexts_a13_grossraumwagon_aushang_ex_3_st_1;Some of the photos are rather nice. Professional work.
sequences_a13_grossraumwagon_aushang_use_1#1;[The Arab tries to open the window, but it does not move.]
spokentexts_a13_grossraumwagon_aushang_use_1_st_1;Won't work. There's a lock at the bottom of the window.
sequences_a13_grossraumwagon_aushang_used_mit_schluesselbund#1;[The Arab takes out the key ring, he looks at the key.]
spokentexts_a13_grossraumwagon_aushang_used_mit_schluesselbund_st_1;Hmm. Maybe...
sequences_a13_grossraumwagon_aushang_used_mit_schluesselbund#3;[He selects a key and opens the lock. Then he puts away the key ring and opens the case.]
texts_a13_grossraumwagon_fenster_mo_ex_1;Look out the window
spokentexts_a13_grossraumwagon_fenster_ex_1_st_1;We're still in the Swiss Alps.
spokentexts_a13_grossraumwagon_fenster_ex_1_st_2;We should reach the Italian border in half an hour.
texts_a13_grossraumwagon_geigenkoffer_mo_ex_1__2;Examine the violin case
spokentexts_a13_grossraumwagon_geigenkoffer_ex_1_st_1;Hmm. Is this is a Stradivarius or something like that?
spokentexts_a13_grossraumwagon_geigenkoffer_ex_1_st_2;If it is, maybe I should take it with me during the blackout.
spokentexts_a13_grossraumwagon_geigenkoffer_ex_1_st_3;With any luck, I'm going to be a happy family man soon and I'll need a few francs, lira or marks.
spokentexts_a13_grossraumwagon_geigenkoffer_ex_2_st_1;Self control. Side jobs always lead to complications.
spokentexts_a13_grossraumwagon_geigenkoffer_ex_2_st_2;There are enough unknowns in our plan as it is-no need to add more.
texts_a13_grossraumwagon_krimi_mo_text_ex_1;Examine the book
texts_a13_grossraumwagon_krimi_mo_text_take_1;Take the book
spokentexts_a13_grossraumwagon_krimi_ex_1_st_1;Hmm. A paperback. A crime novel, I'd say.
spokentexts_a13_grossraumwagon_krimi_ex_1_st_2;"""The Vicarage in the Mirror"" by Clarissa Westmacott."
spokentexts_a13_grossraumwagon_krimi_ex_1_st_3;I'm not interested in crime novels, but I recognize her name. She's the most successful writer in the world.
spokentexts_a13_grossraumwagon_krimi_take_1_st_1;No, better not. If I'm going to swipe something, it had better be worthwhile.
texts_a13_grossraumwagon_magnet_am_faden_mo_inventar_1;Magnet on string
spokentexts_a13_grossraumwagon_magnet_am_faden_ex_1_st_1;The wool string isn't particularly strong, but it should hold the weight of the magnet.
texts_a13_grossraumwagon_magnet_mo_inventar_1;Magnet
texts_a13_grossraumwagon_magnet_mo_inventar_2;Tie the magnet to the string
spokentexts_a13_grossraumwagon_magnet_ex_1_st_1;The magnet isn't that big, but it's still strong.
sequences_a13_grossraumwagon_magnet_used_mit_wolle_1#1;[If the Arab is in the big wagon or in the lounge wagon, he goes to a position from which he can not be observed by the guests. (turns away, etc.) ]
sequences_a13_grossraumwagon_magnet_used_mit_wolle_1#2;[The Arab takes out the magnets and thestring, then fumbles around with it.]
sequences_a13_grossraumwagon_magnet_used_mit_wolle_1#4;[The Arab is ready and drops the magnet, while holding the other end of the string with two fingers. The magnet is dangling on the String.]
spokentexts_a13_grossraumwagon_magnet_used_mit_wolle_1_st_2;Done!
sequences_a13_grossraumwagon_magnet_used_mit_wolle_1#6;[The Arab puts the magnet on one string.]
sequences_a13_grossraumwagon_magnet_used_mit_wolle_1#7;"[The magnet and the string disappers, the new object ""magnet on a String 'appears .]"
sequences_a13_grossraumwagon_magnet_used_mit_wolle_2#1;[The Arab kneeling takes the magnets and the string, then he's doing something with it.]
spokentexts_a13_grossraumwagon_magnet_used_mit_wolle_1_st_1;I'll tie the magnet to the string...
sequences_a13_grossraumwagon_magnet_used_mit_wolle_2#3;[The Arab is ready and drops the magnet, while holding the other end of the string with two fingers. The magnet is dangling on the String.]
sequences_a13_grossraumwagon_magnet_used_mit_wolle_2#5;[The Arab puts the magnet on one string.]
sequences_a13_grossraumwagon_magnet_used_mit_wolle_2#6;"[The magnet and the string disappers, the new object ""magnet on a String 'appears .]"
texts_a13_grossraumwagon_tuer_kabine_archaeologe_mo_ex_1__2;Examine the cabin door
spokentexts_a13_grossraumwagon_tuer_kabine_archaeologe_ex_1_st_1;Obviously they managed to open the door. I wonder who or what the archaeologist thinks locked it.
spokentexts_a13_grossraumwagon_tuer_kabine_archaeologe_ex_1_st_2;Did he connect it to the burglary in London? Hmm. Probably not.
spokentexts_a13_grossraumwagon_tuer_kabine_archaeologe_ex_2_st_1;"Professor Lucien is on his way to Cairo, just like the baroness. They both know each other. She chairs the ""Friends of the British Museum"" club."
spokentexts_a13_grossraumwagon_tuer_kabine_archaeologe_ex_2_st_2;I hope he's too shaken up to leave his cabin until we reach Venice.
texts_a13_grossraumwagon_tuer_kabine_baronin_mo_ex_1__2;Examine the cabin door
spokentexts_a13_grossraumwagon_tuer_kabine_baronin_ex_1_st_1;I assume Inch is also in the compartment. He'll probably find some excuse to sneak out to trigger the blackout and engage the emergency brakes.
spokentexts_a13_grossraumwagon_tuer_kabine_baronin_ex_1_st_2;No idea how he expects to pull that off. He usually leaves me in the dark about such things.
spokentexts_a13_grossraumwagon_tuer_kabine_baronin_ex_1_st_3;Even after months of partnership, he still doesn't trust me completely.
spokentexts_a13_grossraumwagon_tuer_kabine_baronin_ex_2_st_1;Just a few more days and I'll finally be rid of that creep.
spokentexts_a13_grossraumwagon_tuer_kabine_baronin_ex_2_st_2;And until then, he has to burn in his own personal hell with the baroness. A nice thought.
texts_a13_grossraumwagon_tuer_zum_salonwagen_mo_leave_1;Go into the saloon car
sequences_a13_grossraumwagon_tuer_zum_salonwagen_leave_1#1;[The Arab goes in the lounge wagon.]
texts_a13_grossraumwagon_tuer_zum_tender_mo_ex_1;Examine the door
spokentexts_a13_grossraumwagon_tuer_zum_tender_ex_1_st_1;Climbing over the coal car is the only way to get into the driver's cab while the train is moving.
spokentexts_a13_grossraumwagon_tuer_zum_tender_ex_1_st_2;Can't imagine Inch climbing over it to trigger a blackout up front.
spokentexts_a13_grossraumwagon_tuer_zum_tender_ex_1_st_3;I bet he paid someone to do his dirty work. Inch almost never takes personal risks and usually he tries to keep his hands clean.
sequences_a13_grossraumwagon_seq_a13_grossraumwagon_zusammenstoss_mit_oehi#0;[As the Arab want to leave of the car, he bumps with Ohi. He turns away as inconspicuously as possible, raises a hand to his cap to excuse himself.]
spokentexts_a13_grossraumwagon_seq_a13_grossraumwagon_zusammenstoss_mit_oehi_st_1;Pardon me, sir.
sequences_a13_grossraumwagon_seq_a13_grossraumwagon_zusammenstoss_mit_oehi#2;[The Arab can not be stopped, continues. Ohi stops and looks after him.]
spokentexts_a13_grossraumwagon_seq_a13_grossraumwagon_zusammenstoss_mit_oehi_st_2;We could have used you a few minutes ago!
sequences_a13_grossraumwagon_seq_a13_grossraumwagon_zusammenstoss_mit_oehi#4;[Ohi shakes his head.]
texts_a13_kabine_archaeologe_armeemesser_mo_inventar_1;Knife
spokentexts_a13_kabine_archaeologe_armeemesser_ex_1_st_1;A handy Swiss Army knife. A gift from a good friend.
texts_a13_kabine_archaeologe_eckschrank_mo_use_1;Open the corner cupboard
spokentexts_a13_kabine_archaeologe_eckschrank_ex_1_st_1;A small, delicately made corner cupboard. Could house a bar or perhaps washing facilities.
sequences_a13_kabine_archaeologe_eckschrank_use_1#1;[The Arab opens the corner cupboard.]
sequences_a13_kabine_archaeologe_eckschrank_use_1#2;[Mirror and towel are enabled.]
texts_a13_kabine_archaeologe_fenster_mo_ex_1;Examine the window
texts_a13_kabine_archaeologe_fenster_mo_use_1;Open the window
texts_a13_kabine_archaeologe_fenster_mo_use_2;Climb out the window
spokentexts_a13_kabine_archaeologe_fenster_ex_1_st_1;It was the only window that was open in the station, so it was a good way to get onto the train.
spokentexts_a13_kabine_archaeologe_fenster_ex_1_st_2;And now it might be my only way out.
sequences_a13_kabine_archaeologe_fenster_use_1#1;[The Arab leans out, looks first to the left, then right. In this pose it will stop (idle).]
spokentexts_a13_kabine_archaeologe_fenster_use_1_st_1;Hmm. The window to the right should be the baroness' cabin and the one on the left is the saloon car. 
